Experiment_ID,Timestamp,Model,Features,MAE,RMSE,R2,Note
20251204_162620,2025-12-04 16:26:20,LinearRegression,hour;weekday;is_weekend;is_peak,14.4772,21.2678,0.3135,Month 3 Test
20251204_162620,2025-12-04 16:26:21,RandomForest_Depth5,hour;weekday;is_weekend;is_peak,11.3099,18.5072,0.4801,Month 3 Test
20251204_162620,2025-12-04 16:26:21,RandomForest_Depth10,hour;weekday;is_weekend;is_peak,11.1745,18.3087,0.4912,Month 3 Test
20251204_162620,2025-12-04 16:26:21,XGBoost,hour;weekday;is_weekend;is_peak,11.1731,18.3052,0.4914,Month 3 Test
20251204_162620,2025-12-04 16:26:21,XGBoost,hour;weekday;is_weekend;is_peak,11.1688,18.2977,0.4918,Month 3 Test
20251204_162620,2025-12-04 16:26:21,LinearRegression,hour;weekday;temperature;rainfall;wind_speed,16.0664,24.5872,0.0824,Month 3 Test
20251204_162620,2025-12-04 16:26:21,RandomForest_Depth5,hour;weekday;temperature;rainfall;wind_speed,11.6294,19.3105,0.4340,Month 3 Test
20251204_162620,2025-12-04 16:26:22,RandomForest_Depth10,hour;weekday;temperature;rainfall;wind_speed,14.6741,24.1511,0.1147,Month 3 Test
20251204_162620,2025-12-04 16:26:22,XGBoost,hour;weekday;temperature;rainfall;wind_speed,15.7574,25.1466,0.0402,Month 3 Test
20251204_162620,2025-12-04 16:26:22,XGBoost,hour;weekday;temperature;rainfall;wind_speed,15.2218,24.7865,0.0675,Month 3 Test
20251204_162620,2025-12-04 16:26:22,LinearRegression,hour;weekday;latitude;longitude;Quantity,15.2084,21.4162,0.3039,Month 3 Test
20251204_162620,2025-12-04 16:26:22,RandomForest_Depth5,hour;weekday;latitude;longitude;Quantity,9.9544,15.3237,0.6436,Month 3 Test
20251204_162620,2025-12-04 16:26:22,RandomForest_Depth10,hour;weekday;latitude;longitude;Quantity,8.6989,13.4659,0.7248,Month 3 Test
20251204_162620,2025-12-04 16:26:23,XGBoost,hour;weekday;latitude;longitude;Quantity,8.8156,13.6004,0.7193,Month 3 Test
20251204_162620,2025-12-04 16:26:23,XGBoost,hour;weekday;latitude;longitude;Quantity,8.6937,13.4513,0.7254,Month 3 Test
20251204_162620,2025-12-04 16:26:23,LinearRegression,hour;weekday;mrt_count_800m;mrt_dist_nearest_m,15.2430,21.1610,0.3203,Month 3 Test
20251204_162620,2025-12-04 16:26:23,RandomForest_Depth5,hour;weekday;mrt_count_800m;mrt_dist_nearest_m,9.9690,15.3255,0.6435,Month 3 Test
20251204_162620,2025-12-04 16:26:23,RandomForest_Depth10,hour;weekday;mrt_count_800m;mrt_dist_nearest_m,8.6989,13.4697,0.7246,Month 3 Test
20251204_162620,2025-12-04 16:26:23,XGBoost,hour;weekday;mrt_count_800m;mrt_dist_nearest_m,8.8222,13.6065,0.7190,Month 3 Test
20251204_162620,2025-12-04 16:26:24,XGBoost,hour;weekday;mrt_count_800m;mrt_dist_nearest_m,8.6938,13.4510,0.7254,Month 3 Test
20251204_162620,2025-12-04 16:26:24,LinearRegression,hour;weekday;school_count_800m;school_dist_nearest_m,14.9128,20.6270,0.3542,Month 3 Test
20251204_162620,2025-12-04 16:26:24,RandomForest_Depth5,hour;weekday;school_count_800m;school_dist_nearest_m,9.8850,15.2287,0.6480,Month 3 Test
20251204_162620,2025-12-04 16:26:24,RandomForest_Depth10,hour;weekday;school_count_800m;school_dist_nearest_m,8.7067,13.4909,0.7238,Month 3 Test
20251204_162620,2025-12-04 16:26:24,XGBoost,hour;weekday;school_count_800m;school_dist_nearest_m,8.8093,13.6272,0.7181,Month 3 Test
20251204_162620,2025-12-04 16:26:24,XGBoost,hour;weekday;school_count_800m;school_dist_nearest_m,8.6942,13.4522,0.7253,Month 3 Test
20251204_162620,2025-12-04 16:26:24,LinearRegression,hour;weekday;park_count_800m;park_dist_nearest_m,15.2351,21.4843,0.2994,Month 3 Test
20251204_162620,2025-12-04 16:26:25,RandomForest_Depth5,hour;weekday;park_count_800m;park_dist_nearest_m,10.0408,15.5509,0.6330,Month 3 Test
20251204_162620,2025-12-04 16:26:25,RandomForest_Depth10,hour;weekday;park_count_800m;park_dist_nearest_m,8.6880,13.4698,0.7246,Month 3 Test
20251204_162620,2025-12-04 16:26:25,XGBoost,hour;weekday;park_count_800m;park_dist_nearest_m,8.8208,13.6625,0.7167,Month 3 Test
20251204_162620,2025-12-04 16:26:25,XGBoost,hour;weekday;park_count_800m;park_dist_nearest_m,8.6946,13.4526,0.7253,Month 3 Test
20251204_162620,2025-12-04 16:26:25,LinearRegression,hour;weekday;population_count;shopping_district_count,15.4583,21.9387,0.2695,Month 3 Test
20251204_162620,2025-12-04 16:26:25,RandomForest_Depth5,hour;weekday;population_count;shopping_district_count,11.2695,17.9525,0.5108,Month 3 Test
20251204_162620,2025-12-04 16:26:26,RandomForest_Depth10,hour;weekday;population_count;shopping_district_count,10.3784,16.9490,0.5640,Month 3 Test
20251204_162620,2025-12-04 16:26:26,XGBoost,hour;weekday;population_count;shopping_district_count,10.4261,17.0090,0.5609,Month 3 Test
20251204_162620,2025-12-04 16:26:26,XGBoost,hour;weekday;population_count;shopping_district_count,10.3811,16.9472,0.5641,Month 3 Test
20251204_162620,2025-12-04 16:26:26,LinearRegression,hour;weekday;Quantity;mrt_dist_nearest_m;school_dist_nearest_m;park_dist_nearest_m;population_count,14.8154,20.4548,0.3650,Month 3 Test
20251204_162620,2025-12-04 16:26:26,RandomForest_Depth5,hour;weekday;Quantity;mrt_dist_nearest_m;school_dist_nearest_m;park_dist_nearest_m;population_count,9.9544,15.3237,0.6436,Month 3 Test
20251204_162620,2025-12-04 16:26:26,RandomForest_Depth10,hour;weekday;Quantity;mrt_dist_nearest_m;school_dist_nearest_m;park_dist_nearest_m;population_count,8.6989,13.4659,0.7248,Month 3 Test
20251204_162620,2025-12-04 16:26:26,XGBoost,hour;weekday;Quantity;mrt_dist_nearest_m;school_dist_nearest_m;park_dist_nearest_m;population_count,8.8111,13.5957,0.7194,Month 3 Test
20251204_162620,2025-12-04 16:26:27,XGBoost,hour;weekday;Quantity;mrt_dist_nearest_m;school_dist_nearest_m;park_dist_nearest_m;population_count,8.6927,13.4506,0.7254,Month 3 Test
20251204_162620,2025-12-04 16:26:27,LinearRegression,hour;weekday;month;is_weekend;is_peak;temperature;rainfall;wind_speed;Quantity;mrt_dist_nearest_m;school_dist_nearest_m;park_dist_nearest_m;population_count,15.0747,21.3871,0.3057,Month 3 Test
20251204_162620,2025-12-04 16:26:27,RandomForest_Depth5,hour;weekday;month;is_weekend;is_peak;temperature;rainfall;wind_speed;Quantity;mrt_dist_nearest_m;school_dist_nearest_m;park_dist_nearest_m;population_count,10.3282,16.3215,0.5957,Month 3 Test
20251204_162620,2025-12-04 16:26:27,RandomForest_Depth10,hour;weekday;month;is_weekend;is_peak;temperature;rainfall;wind_speed;Quantity;mrt_dist_nearest_m;school_dist_nearest_m;park_dist_nearest_m;population_count,13.6613,22.3755,0.2401,Month 3 Test
20251204_162620,2025-12-04 16:26:28,XGBoost,hour;weekday;month;is_weekend;is_peak;temperature;rainfall;wind_speed;Quantity;mrt_dist_nearest_m;school_dist_nearest_m;park_dist_nearest_m;population_count,16.5343,23.7152,0.1464,Month 3 Test
